date,Open,High,Low,Close,Volume
2023-07-28 12:30:00,427.1,427.24,426.63,426.906,12219.0
2023-07-28 12:31:00,426.78,427.0,426.55,427.0,5840.0
2023-07-28 12:32:00,426.85,426.995,426.32,426.353,20876.0
2023-07-28 12:33:00,426.47,426.6,426.31,426.58,4922.0
2023-07-28 12:34:00,426.52,426.59,426.11,426.11,7891.0
2023-07-28 12:35:00,426.05,426.05,425.556,425.568,7892.0
2023-07-28 12:36:00,425.715,425.715,425.03,425.497,8378.0
2023-07-28 12:37:00,425.4,425.5,425.318,425.49,2927.0
2023-07-28 12:38:00,425.46,425.52,425.01,425.195,3814.0
2023-07-28 12:39:00,425.2,425.2,424.767,425.03,6099.0
2023-07-28 12:40:00,424.92,424.98,424.73,424.76,5764.0
2023-07-28 12:41:00,424.66,425.04,424.6,424.99,7341.0
2023-07-28 12:42:00,424.99,425.345,424.99,425.345,5347.0
2023-07-28 12:43:00,425.27,425.385,425.17,425.34,4710.0
2023-07-28 12:44:00,425.17,425.26,424.99,425.21,6752.0
2023-07-28 12:45:00,425.01,425.41,425.01,425.313,6182.0
2023-07-28 12:46:00,425.34,425.516,425.04,425.09,7575.0
2023-07-28 12:47:00,425.035,425.035,424.66,424.91,8790.0
2023-07-28 12:48:00,424.87,424.93,424.59,424.65,5030.0
2023-07-28 12:49:00,424.645,424.791,424.52,424.59,14715.0
2023-07-28 12:50:00,424.64,424.91,424.5,424.9,7406.0
2023-07-28 12:51:00,424.96,425.375,424.81,425.375,5350.0
2023-07-28 12:52:00,425.47,425.57,425.46,425.525,5436.0
2023-07-28 12:53:00,425.47,425.91,425.43,425.77,7383.0
2023-07-28 12:54:00,425.91,426.05,425.86,426.01,4616.0
2023-07-28 12:55:00,426.0,426.0,425.36,425.534,7109.0
2023-07-28 12:56:00,425.56,425.67,425.41,425.58,6498.0
2023-07-28 12:57:00,425.59,425.85,425.43,425.715,11003.0
2023-07-28 12:58:00,425.48,425.539,425.29,425.41,4259.0
2023-07-28 12:59:00,425.31,425.58,425.31,425.39,6530.0
2023-07-28 13:00:00,425.27,425.34,425.052,425.17,5120.0
2023-07-28 13:01:00,425.05,425.155,424.72,425.09,6507.0
2023-07-28 13:02:00,425.068,425.47,425.068,425.38,7136.0
2023-07-28 13:03:00,425.36,425.4,425.26,425.38,3739.0
